Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
483,Dwight Powell,33,DAL,C,33,0,251,2.7,3.5,0.778,0.2,0.2,1,2.5,3.3,0.765,0.806,3.9,5.8,0.667,4.3,7.2,11.4,4.4,2.3,2.9,1.4,7.3,9.5,157,110,,poweldw01
484,GG Jackson II,20,MEM,PF,14,0,247,9.1,21.5,0.426,3.7,10.6,0.351,5.4,10.8,0.5,0.513,3.9,5.6,0.7,3.2,6.2,9.3,2.2,1.1,0.6,3.4,3,25.9,106,114,,jacksgg01
485,Christian Koloko,24,LAL,C,29,0,246,5.6,8.6,0.651,0,0.4,0,5.6,8.2,0.683,0.651,1.4,1.6,0.875,5.6,7.2,12.7,2.4,1.4,1.6,1.4,6.2,12.5,140,113,,kolokch01
486,Johnny Furphy,20,IND,SG,35,0,245,4.1,11.2,0.368,2.2,6.3,0.344,2,4.9,0.4,0.465,1.8,1.8,1,3.3,4.5,7.9,2,1.8,1.6,1.8,4.9,12.2,107,116,,furphjo01
487,Trey Jemison,25,2TM,C,25,0,243,5.4,10.4,0.519,0,0,,5.4,10.4,0.519,0.519,1.8,5,0.36,5.8,7.6,13.4,2.4,1.6,2.2,2.8,9,12.6,103,116,,jemistr01
488,Trey Jemison,25,NOP,C,16,0,166,4.4,9.3,0.469,0,0,,4.4,9.3,0.469,0.469,2.3,6.1,0.381,6.4,6.4,12.8,2.9,2,1.7,2.9,7.9,11,100,118,,jemistr01
489,Trey Jemison,25,LAL,C,9,0,77,7.6,12.7,0.6,0,0,,7.6,12.7,0.6,0.6,0.6,2.5,0.25,4.5,10.2,14.6,1.3,0.6,3.2,2.5,11.4,15.9,107,111,,jemistr01
490,Johnny Davis,22,WAS,SG,34,0,242,6.3,15.3,0.41,1.4,5.7,0.241,4.9,9.6,0.51,0.455,1.8,2.9,0.6,2,5.5,7.4,2.2,2.9,1.2,1.4,3.5,15.6,99,117,,davisjo06
491,Orlando Robinson,24,2TM,C,21,1,233,5.6,14.1,0.397,0.6,3.1,0.2,5,11,0.453,0.419,3.3,4.6,0.727,4.2,8.3,12.5,5,1.5,0.8,2.9,6.6,15.2,103,116,,robinor01
492,Orlando Robinson,24,SAC,C,9,0,57,5.9,14.4,0.412,0.8,4.2,0.2,5.1,10.2,0.5,0.441,3.4,5.9,0.571,2.5,9.3,11.9,7.6,2.5,0.8,3.4,5.1,16.1,102,112,,robinor01
493,Orlando Robinson,24,TOR,C,12,1,176,5.5,14,0.392,0.5,2.7,0.2,4.9,11.3,0.439,0.412,3.3,4.1,0.8,4.7,8,12.6,4.1,1.1,0.8,2.7,7.1,14.8,103,117,,robinor01
494,Reece Beekman,23,2TM,PG,23,0,231,4.1,11.7,0.352,0.9,4.5,0.19,3.2,7.1,0.455,0.389,1.1,1.9,0.556,1.1,2.2,3.2,6.7,2.8,0.4,2.6,3.2,10.2,92,115,,beekmre01
495,Reece Beekman,23,GSW,PG,2,0,4,12.1,12.1,1,0,0,,12.1,12.1,1,1,0,0,,12.1,0,12.1,12.1,12.1,0,0,12.1,24.2,215,94,,beekmre01
496,Reece Beekman,23,BRK,PG,21,0,227,4,11.7,0.34,0.9,4.6,0.19,3.1,7,0.438,0.377,1.1,2,0.556,0.9,2.2,3.1,6.6,2.6,0.4,2.6,3.1,9.9,89,116,,beekmre01
497,Tristan Thompson,33,CLE,C,30,0,228,4.4,10.3,0.429,0,0.6,0,4.4,9.7,0.457,0.429,1.1,4.6,0.227,4,14.3,18.3,4.2,0.2,1.7,2.3,5.7,9.9,97,109,,thomptr01
498,Bol Bol,25,PHO,PF,20,2,228,10.4,21.4,0.485,3,10.8,0.28,7.3,10.6,0.694,0.556,2.4,3.5,0.688,2.8,9.1,11.9,1.7,1.1,3.7,2.6,1.7,26.1,106,114,,bolbo01
499,Cory Joseph,33,ORL,PG,31,0,227,4.8,13.4,0.361,3.3,9.2,0.357,1.5,4.2,0.368,0.484,0.4,0.9,0.5,1.3,3.7,5,5.3,2.4,0.7,2.4,4,13.4,100,110,,josepco01
500,Josh Minott,22,MIN,SF,33,0,224,7,15.6,0.451,1.5,6.8,0.226,5.5,8.8,0.625,0.5,2.4,2.9,0.846,2,6.2,8.1,3.1,2.6,2.4,1.8,5.9,18.1,111,107,,minotjo01
501,Bones Hyland,24,LAC,PG,20,0,222,9.9,25.3,0.391,6.8,17.6,0.388,3.1,7.7,0.4,0.526,5.1,5.7,0.885,1.1,4.2,5.3,6.2,4,0.9,5.3,5.7,31.7,105,107,,hylanbo01
502,Jaylen Clark,23,MIN,SG,15,1,221,5.1,12.5,0.411,2,5.4,0.375,3.1,7.1,0.438,0.491,2.7,3.6,0.75,2.9,2.5,5.4,1.8,2.7,0.2,0.4,5.1,15,122,112,,clarkja02
503,Isaac Jones,24,SAC,PF,25,0,218,8.4,12.9,0.655,0.2,0.9,0.25,8.2,12,0.685,0.664,3.1,5.8,0.538,3.1,5.3,8.4,1.8,0.7,1.8,2.7,5.8,20.2,118,117,,jonesis01
504,Jeff Green,38,HOU,PF,17,2,209,7.9,14.9,0.531,3.3,9.5,0.341,4.7,5.4,0.87,0.641,3.5,4.2,0.833,1.2,5.1,6.3,1.6,0.7,0.2,1.2,4,22.6,136,115,,greenje02
505,Anthony Gill,32,WAS,PF,37,0,208,5,10,0.5,1.1,3.4,0.333,3.9,6.6,0.586,0.557,3.9,6.4,0.607,1.4,5.2,6.6,1.6,1.4,0.5,1.4,4.1,15,114,121,,gillan01
506,Kai Jones,24,LAC,C,28,0,208,6.1,8.5,0.722,0,0.5,0,6.1,8,0.765,0.722,2.1,2.8,0.75,3.5,7.3,10.8,2.4,1.4,3.1,2.4,5.4,14.3,130,108,,joneska01
507,Kevin Love,36,MIA,PF,19,6,207,8.4,23.8,0.354,5,13.9,0.362,3.4,9.8,0.341,0.46,3.1,4.6,0.684,4.1,14.4,18.5,4.6,3.4,0.5,3.1,4.1,25,101,105,,loveke01
508,Ariel Hukporti,22,NYK,C,24,0,201,4.2,6.4,0.654,0,0,,4.2,6.4,0.654,0.654,1.5,3.2,0.462,2.9,9.1,12,2.7,0.2,3.4,4.4,7.1,9.8,95,114,,hukpoar01
509,Dario Šarić,30,DEN,C,14,4,199,4.3,13,0.333,1.4,5.8,0.25,2.9,7.2,0.4,0.389,1.7,2.4,0.7,3.4,8.4,11.8,5.3,1.7,0.2,3.4,4.3,11.8,94,115,,saricda01
510,Xavier Tillman Sr.,26,BOS,C,27,1,196,2.5,10.4,0.244,1,5.8,0.174,1.5,4.5,0.333,0.293,0.3,0.5,0.5,2,7.1,9.1,1.8,2,1.3,2.3,3.8,6.3,70,109,,tillmxa01
511,Jordan McLaughlin,28,2TM,PG,30,0,194,4,11,0.364,2.5,6.5,0.385,1.5,4.5,0.333,0.477,2.7,4,0.688,1,4.2,5.2,6.5,2.7,0,2.7,3.5,13.2,107,116,,mclaujo01
