Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
123,Deni Avdija,22,WAS,SF,76,40,2020,6.1,14.0,0.437,1.7,5.6,0.297,4.4,8.4,0.53,0.497,2.9,4.0,0.739,1.8,10.0,11.7,5.1,1.6,0.7,3.0,5.0,16.8,106,114,,avdijde01,26.579,Forward,0.4,0.286,0.533,1.7,0.214,1.066,2.3,0.153
124,Tyrese Maxey,22,PHI,SG,60,41,2016,10.8,22.4,0.481,3.9,9.1,0.434,6.9,13.4,0.513,0.568,4.4,5.2,0.845,0.6,3.8,4.3,5.2,1.2,0.2,2.0,3.2,29.9,120,117,,maxeyty01,33.6,Guard,0.406,0.232,0.606,2.6,0.163,1.211,1.4,0.136
125,Dorian Finney-Smith,29,2TM,PF,66,66,2009,4.8,12.3,0.391,2.8,8.3,0.337,2.0,4.0,0.503,0.505,1.1,1.5,0.763,2.8,5.0,7.8,2.5,1.4,0.9,1.5,3.5,13.5,109,117,,finnedo01,30.439,Forward,0.675,0.122,0.521,1.667,0.147,1.042,2.3,0.359
126,Dorian Finney-Smith,29,DAL,PF,40,40,1288,5.0,12.0,0.416,3.0,8.4,0.355,2.0,3.6,0.559,0.54,1.2,1.5,0.75,2.6,4.7,7.3,2.3,1.5,0.8,1.4,3.1,14.1,114,118,,finnedo01,32.2,Forward,0.7,0.125,0.557,1.643,0.141,1.114,2.3,0.356
127,Dorian Finney-Smith,29,BRK,PF,26,26,721,4.5,12.9,0.351,2.5,8.2,0.306,2.0,4.7,0.429,0.448,1.0,1.3,0.789,3.2,5.5,8.7,2.8,1.2,1.1,1.8,4.3,12.6,101,116,,finnedo01,27.731,Forward,0.636,0.101,0.468,1.556,0.155,0.935,2.3,0.368
128,Jordan Clarkson,30,UTA,SG,61,61,1988,11.0,24.8,0.444,3.7,11.0,0.338,7.3,13.7,0.53,0.519,4.8,5.9,0.816,1.7,4.2,5.9,6.5,0.8,0.3,4.5,2.9,30.5,109,120,,clarkjo01,32.59,Guard,0.444,0.238,0.557,1.444,0.169,1.113,1.1,0.288
129,Dennis Schröder,29,LAL,PG,66,50,1986,6.4,15.5,0.415,1.8,5.4,0.329,4.7,10.1,0.461,0.472,5.2,6.0,0.857,0.5,3.4,3.9,7.1,1.2,0.2,2.7,3.5,19.8,112,117,,schrode01,30.091,Guard,0.348,0.387,0.546,2.63,0.254,1.092,1.4,0.128
130,Tre Jones,23,SAS,PG,68,65,1984,8.1,17.7,0.459,1.1,3.8,0.285,7.0,13.9,0.506,0.489,3.5,4.1,0.86,1.3,4.5,5.8,10.7,2.1,0.2,2.6,2.3,20.8,117,120,,jonestr01,29.176,Guard,0.215,0.232,0.533,4.115,0.326,1.066,2.3000000000000003,0.224
131,Grayson Allen,27,MIL,SG,72,70,1972,5.9,13.5,0.44,3.5,8.9,0.399,2.4,4.6,0.518,0.571,2.8,3.1,0.905,1.5,4.3,5.7,3.9,1.5,0.3,1.7,2.8,18.2,123,114,,allengr01,27.389,Guard,0.659,0.23,0.612,2.294,0.191,1.224,1.8,0.259
132,Jonas Valančiūnas,30,NOP,C,79,79,1968,11.0,20.1,0.547,0.9,2.7,0.349,10.0,17.4,0.577,0.57,4.6,5.5,0.826,5.5,14.3,19.8,3.4,0.5,1.3,3.9,6.0,27.5,116,110,,valanjo01,24.911,Center,0.134,0.274,0.611,0.872,0.114,1.221,1.8,0.278
